Garhwali,RomanGarhwali,Hindi,English
"वो घौर जल्दी लौंटि आऊंलु, तैमीं ब्यार नी जांदु.","wo ghaur jaldi launti aunlu, taimi byar ni jandu.","वह घर जल्दी लौट आऊँगा, इसलिए मैं बाहर नहीं जाऊँगा.","He will return home early, so I will not go outside."
"मी थोड़्को टहलणू निकळ्यूं, तैकि काम रोकी गेलु.","mi thodko tahalnu niklu, taiki kaam roki gelu.","मैं थोड़ा टहलने निकला हूँ, इस वजह से काम रुका है.","I went for a small walk, so the work got delayed."
"वो नयकु सीखदु छौं, क्योंकि मौसम भलू छ.","wo nayku seekhdu chon, kyonki mausam bhalu cha.","वह नया कुछ सीख रहा हूँ, क्योंकि मौसम अच्छा है.","He am learning something new, because the weather is nice."
"हम खाणू बणादु छौं, लैकिमि मि तैं कु परेशानी नी छ.","ham khanu banadu chon, laikin mi tain ku paresani ni cha.","हम खाना बना रहा हूँ, लेकिन मुझे कोई परेशानी नहीं है.","We am cooking food, but I have no problem."
"म्यार दोस्त तुम सँग बोलणो छाहूं, तैकि काम रोकी गेलु.","myar d host tum sang bolno chaahun, taiki kaam roki gelu.","मेरे दोस्त तुमसे बात करना चाहता हूँ, इस वजह से काम रुका है.","My friend want to talk to you, so the work got delayed."
"तुम तेरु बाट देखुलुं, तैकि काम रोकी गेलु.","tum teru baat dekhulu, taiki kaam roki gelu.","तुम तुम्हारा इंतज़ार करूँगा, इस वजह से काम रुका है.","You will wait for you, so the work got delayed."
"माँ घौर जल्दी लौंटि आऊंलु, क्योंकि घौर पर ब्यो काम छ.","maa ghaur jaldi launti aunlu, kyonki ghaur par byo kaam cha.","माँ घर जल्दी लौट आऊँगा, क्योंकि घर पर बहुत काम है.","Mother will return home early, because there is a lot of work at home."
"म्यार दोस्त बजार बटी समान ल्यै लक्यूं, तैमीं ब्यार नी जांदु.","myar d host bazaar bati samaan lyae lyaun, taimi byar ni jandu.","मेरे दोस्त बाज़ार से सामान लाया हूँ, इसलिए मैं बाहर नहीं जाऊँगा.","My friend brought some items from the market, so I will not go outside."
"माँ बजार बटी समान ल्यै लक्यूं, तैमीं जल्दी निकळणो होलु.","maa bazaar bati samaan lyae lyaun, taimi jaldi niklano holu.","माँ बाज़ार से सामान लाया हूँ, इसलिए जल्दी निकलना होगा.","Mother brought some items from the market, so I have to leave early."
"लोग थोड़्को टहलणू निकळ्यूं, लैकिमि थोड़ो थक्यूं.","log thodko tahalnu niklu, laikin mi thodko thakyu.","लोग थोड़ा टहलने निकला हूँ, लेकिन थोड़ा थक गया हूँ.","People went for a small walk, but I am a little tired."
"बाबू आज काम पर जांदु छौं, तैमीं जल्दी निकळणो होलु.","baboo aaj kaam par jandu chon, taimi jaldi niklano holu.","पिता आज काम पर जा रहा हूँ, इसलिए जल्दी निकलना होगा.","Father am going to work today, so I have to leave early."
"बच्छा तेरु बाट देखुलुं, तैकि काम रोकी गेलु.","bachcha teru baat dekhulu, taiki kaam roki gelu.","बच्चे तुम्हारा इंतज़ार करूँगा, इस वजह से काम रुका है.","Kids will wait for you, so the work got delayed."
"माँ किताब पड़दु छौं, लैकिमि मि तैं कु परेशानी नी छ.","maa kitaab paddu chon, laikin mi tain ku paresani ni cha.","माँ किताब पढ़ रहा हूँ, लेकिन मुझे कोई परेशानी नहीं है.","Mother am reading a book, but I have no problem."
"बच्छा आज काम पर जांदु छौं, तैकि काम रोकी गेलु.","bachcha aaj kaam par jandu chon, taiki kaam roki gelu.","बच्चे आज काम पर जा रहा हूँ, इस वजह से काम रुका है.","Kids am going to work today, so the work got delayed."
"बाबू घौर जल्दी लौंटि आऊंलु, तैमीं ब्यार नी जांदु.","baboo ghaur jaldi launti aunlu, taimi byar ni jandu.","पिता घर जल्दी लौट आऊँगा, इसलिए मैं बाहर नहीं जाऊँगा.","Father will return home early, so I will not go outside."
"लोग तुम सँग बोलणो छाहूं, तैमीं जल्दी निकळणो होलु.","log tum sang bolno chaahun, taimi jaldi niklano holu.","लोग तुमसे बात करना चाहता हूँ, इसलिए जल्दी निकलना होगा.","People want to talk to you, so I have to leave early."
"लोग थोड़्को आराम करणो छाहूं, तैमीं जल्दी निकळणो होलु.","log thodko aaram karno chaahun, taimi jaldi niklano holu.","लोग थोड़ा आराम करना चाहता हूँ, इसलिए जल्दी निकलना होगा.","People want to take some rest, so I have to leave early."
"लोग घौर जल्दी लौंटि आऊंलु, लैकिमि थोड़ो थक्यूं.","log ghaur jaldi launti aunlu, laikin mi thodko thakyu.","लोग घर जल्दी लौट आऊँगा, लेकिन थोड़ा थक गया हूँ.","People will return home early, but I am a little tired."
"मी किताब पड़दु छौं, क्योंकि मौसम भलू छ.","mi kitaab paddu chon, kyonki mausam bhalu cha.","मैं किताब पढ़ रहा हूँ, क्योंकि मौसम अच्छा है.","I am reading a book, because the weather is nice."
"बाबू तुम सँग बोलणो छाहूं, क्योंकि घौर पर ब्यो काम छ.","baboo tum sang bolno chaahun, kyonki ghaur par byo kaam cha.","पिता तुमसे बात करना चाहता हूँ, क्योंकि घर पर बहुत काम है.","Father want to talk to you, because there is a lot of work at home."
"बच्छा आज काम पर जांदु छौं, तैमीं जल्दी निकळणो होलु.","bachcha aaj kaam par jandu chon, taimi jaldi niklano holu.","बच्चे आज काम पर जा रहा हूँ, इसलिए जल्दी निकलना होगा.","Kids am going to work today, so I have to leave early."
"बाबू थोड़्को टहलणू निकळ्यूं, क्योंकि मौसम भलू छ.","baboo thodko tahalnu niklu, kyonki mausam bhalu cha.","पिता थोड़ा टहलने निकला हूँ, क्योंकि मौसम अच्छा है.","Father went for a small walk, because the weather is nice."
"मी बजार बटी समान ल्यै लक्यूं, क्योंकि मि तैं समय छाही.","mi bazaar bati samaan lyae lyaun, kyonki mi tain samay chahi.","मैं बाज़ार से सामान लाया हूँ, क्योंकि मुझे समय चाहिए.","I brought some items from the market, because I need some time."
"तुम किताब पड़दु छौं, क्योंकि मौसम भलू छ.","tum kitaab paddu chon, kyonki mausam bhalu cha.","तुम किताब पढ़ रहा हूँ, क्योंकि मौसम अच्छा है.","You am reading a book, because the weather is nice."
